Title:,
Date/Time:,19/03/2026 13:16:44,19/03/2026 13:16:44
Device:,qTOWER96.iris.mock,3107D-1252
Operator:,
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,SybrGreen,5,*,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,95,10:00,0,0,0,0,8
,2,,95,00:10,0,0,0,0,8
,3,,60,00:45,0,0,0,0,6
,4,*,72,00:20,2,39,0,0,6
Melt active:,No
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,Dye,Gene,Ct,Mean Ct,Std. dev. Ct
A1,,,Standard,SybrGreen,,6.38,6.38,0.00
A2,,,Standard,SybrGreen,,6.58,6.58,0.00
A3,,,Standard,SybrGreen,,7.80,7.80,0.00
A4,,,Standard,SybrGreen,,7.82,7.82,0.00
A5,,,Standard,SybrGreen,,10.86,10.86,0.00
A6,,,Standard,SybrGreen,,10.58,10.58,0.00
A7,,,Standard,SybrGreen,,13.99,13.99,0.00
A8,,,Standard,SybrGreen,,14.23,14.23,0.00
A9,,,Standard,SybrGreen,,17.08,17.08,0.00
A10,,,Standard,SybrGreen,,17.25,17.25,0.00
A11,,,Standard,SybrGreen,,20.20,20.20,0.00
A12,,,Standard,SybrGreen,,20.33,20.33,0.00
B1,,,Standard,SybrGreen,,22.69,22.69,0.00
B2,,,Standard,SybrGreen,,22.59,22.59,0.00
B3,,,Standard,SybrGreen,,24.18,24.18,0.00
B4,,,Standard,SybrGreen,,24.48,24.48,0.00
B5,,,NTC,SybrGreen,,23.94,23.94,0.00
B6,,,NTC,SybrGreen,,24.17,24.17,0.00
B7,,,Unknown,SybrGreen,,23.75,23.75,0.00
B8,,,Unknown,SybrGreen,,23.77,23.77,0.00
B9,,,Unknown,SybrGreen,,24.42,24.42,0.00
B10,,,Unknown,SybrGreen,,24.33,24.33,0.00
B11,,,Unknown,SybrGreen,,23.75,23.75,0.00
B12,,,Unknown,SybrGreen,,23.82,23.82,0.00
C1,,,Unknown,SybrGreen,,23.55,23.55,0.00
C2,,,Unknown,SybrGreen,,23.50,23.50,0.00
C3,,,Unknown,SybrGreen,,23.90,23.90,0.00
C4,,,Unknown,SybrGreen,,24.06,24.06,0.00
C5,,,Unknown,SybrGreen,,23.68,23.68,0.00
C6,,,Unknown,SybrGreen,,23.71,23.71,0.00
C7,,,Unknown,SybrGreen,,23.55,23.55,0.00
C8,,,Unknown,SybrGreen,,23.77,23.77,0.00
C9,,,Unknown,SybrGreen,,23.60,23.60,0.00
C10,,,Unknown,SybrGreen,,24.03,24.03,0.00
C11,,,Unknown,SybrGreen,,23.91,23.91,0.00
C12,,,Unknown,SybrGreen,,23.87,23.87,0.00
D1,,,Unknown,SybrGreen,,23.60,23.60,0.00
D2,,,Unknown,SybrGreen,,23.76,23.76,0.00
D3,,,Unknown,SybrGreen,,24.00,24.00,0.00
D4,,,Unknown,SybrGreen,,23.89,23.89,0.00
D5,,,Unknown,SybrGreen,,23.79,23.79,0.00
D6,,,Unknown,SybrGreen,,23.64,23.64,0.00
D7,,,Unknown,SybrGreen,,23.78,23.78,0.00
D8,,,Unknown,SybrGreen,,23.55,23.55,0.00
D9,,,Unknown,SybrGreen,,23.85,23.85,0.00
D10,,,Unknown,SybrGreen,,24.03,24.03,0.00
D11,,,Unknown,SybrGreen,,24.05,24.05,0.00
D12,,,Unknown,SybrGreen,,24.32,24.32,0.00
E1,,,Unknown,SybrGreen,,24.17,24.17,0.00
E2,,,Unknown,SybrGreen,,24.10,24.10,0.00
E3,,,Unknown,SybrGreen,,23.94,23.94,0.00
E4,,,Unknown,SybrGreen,,24.02,24.02,0.00
E5,,,Unknown,SybrGreen,,23.87,23.87,0.00
E6,,,Unknown,SybrGreen,,23.80,23.80,0.00
E7,,,Unknown,SybrGreen,,23.90,23.90,0.00
E8,,,Unknown,SybrGreen,,23.85,23.85,0.00
E9,,,Unknown,SybrGreen,,23.97,23.97,0.00
E10,,,Unknown,SybrGreen,,24.07,24.07,0.00
E11,,,Unknown,SybrGreen,,24.47,24.47,0.00
E12,,,Unknown,SybrGreen,,24.70,24.70,0.00
F1,,,Unknown,SybrGreen,,24.09,24.09,0.00
F2,,,Unknown,SybrGreen,,24.03,24.03,0.00
F3,,,Unknown,SybrGreen,,24.06,24.06,0.00
F4,,,Unknown,SybrGreen,,24.00,24.00,0.00
F5,,,Unknown,SybrGreen,,24.03,24.03,0.00
F6,,,Unknown,SybrGreen,,23.91,23.91,0.00
F7,,,Unknown,SybrGreen,,23.93,23.93,0.00
F8,,,Unknown,SybrGreen,,23.95,23.95,0.00
F9,,,Unknown,SybrGreen,,24.21,24.21,0.00
F10,,,Unknown,SybrGreen,,24.19,24.19,0.00
F11,,,Unknown,SybrGreen,,24.10,24.10,0.00
F12,,,Unknown,SybrGreen,,24.08,24.08,0.00
G1,,,Unknown,SybrGreen,,23.93,23.93,0.00
G2,,,Unknown,SybrGreen,,23.63,23.63,0.00
G3,,,Unknown,SybrGreen,,23.74,23.74,0.00
G4,,,Unknown,SybrGreen,,23.74,23.74,0.00
