WellPosition,SampleId,Concentration,Description,,,1,2,3,4,5,6,7,8,9,10,11,12,
A1,FS_1,13.75,S1,,A,A1,A2,A3,A4,A5,,,,,,,,
D1,R1_V1_D10,45.85,S4,,B,B1,B2,B3,B4,B5,,,,,,,,
F1,R1_V1_D14,25.65,S6,,C,C1 ,C2,C3,C4,C5,,,,,,,,
H1,R1_V1_D17,54.45,S8,,D,D1,D2,D3,D4,D5,,,,,,,,
B2,R1_V1_D19,110,S10,,E,E1,E2,E3,E4,E5,,,,,,,,
D2,R1_V1_D22,38.7,S12,,F,F1,F2,F3,F4,F5,,,,,,,,
F2,R1_V1_D24,64.35,S14,,G,G1,G2,G3,G4,G5,,,,,,,,
H2,R1_V1_D27,51.75,S16,,H,H1,H2,H3,H4,H5,,,,,,,,
B3,R1_V1_D29,21.85,S18,,,,,,,,,,,,,,,
D3,R1_V1_D31,65.4,S20,,,,,,,,,,,,,,,
F3,R1_V1_D34,51.05,S22,,,1,2,3,4,5,6,7,8,9,10,11,12,
B1,R1_V1_D6,38,S2,,A,FS_1,R1_V3_D17,R1_V3_D27,R2_V3_D6,R2_V3_D19,R2_V3_D29,R3_V3_D6,R3_V3_D19,R3_V3_D29,R4_V3_D6,R4_V3_D19,R4_V3_D29,
E1,R1_V3_D10,23.5,S5,,B,R1_V1_D6,R1_V1_D19,R1_V1_D29,R2_V1_D10,R2_V1_D22,R2_V1_D31,R3_V1_D10,R3_V1_D22,R3_V1_D31,R4_V1_D10,R4_V1_D22,R4_V1_D31,
G1,R1_V3_D14,27.75,S7,,C,R1_V3_D6,R1_V3_D19,R1_V3_D29,R2_V3_D10,R2_V3_D22,R2_V3_D31,R3_V3_D10,R3_V3_D22,R3_V3_D31,R4_V3_D10,R4_V3_D22,R4_V3_D31,
A2,R1_V3_D17,45.25,S9,,D,R1_V1_D10,R1_V1_D22,R1_V1_D31,R2_V1_D14,R2_V1_D24,R2_V1_D34,R3_V1_D14,R3_V1_D24,R3_V1_D34,R4_V1_D14,R4_V1_D24,R4_V1_D34,
C2,R1_V3_D19,47,S11,,E,R1_V3_D10,R1_V3_D22,R1_V3_D31,R2_V3_D14,R2_V3_D24,R2_V3_D34,R3_V3_D14,R3_V3_D24,R3_V3_D34,R4_V3_D14,R4_V3_D24,R4_V3_D34,
E2,R1_V3_D22,26.1,S13,,F,R1_V1_D14,R1_V1_D24,R1_V1_D34,R2_V1_D17,R2_V1_D27,R3_V1_D6,R3_V1_D17,R3_V1_D27,R4_V1_D6,R4_V1_D17,R4_V1_D27,,
G2,R1_V3_D24,26.85,S15,,G,R1_V3_D14,R1_V3_D24,R1_V3_D34,R2_V3_D17,R2_V3_D27,,R3_V3_D17,R3_V3_D27,,R4_V3_D17,R4_V3_D27,,
A3,R1_V3_D27,29.95,S17,,H,R1_V1_D17,R1_V1_D27,R2_V1_D6,R2_V1_D19,R2_V1_D29,,R3_V1_D19,R3_V1_D29,,R4_V1_D19,R4_V1_D29,,
C3,R1_V3_D29,91.2,S19,,,,,,,,,,,,,,,
E3,R1_V3_D31,14.6,S21,,,,,,,,,,,,,,,
G3,R1_V3_D34,44.1,S23,,,,,,,,,,,,,,,
C1,R1_V3_D6,18.65,S3,,,,,,,,,,,,,,,
B4,R2_V1_D10,22.55,S26,,,,,,,,,,,,,,,
D4,R2_V1_D14,69.15,S28,,,,,,,,,,,,,,,
F4,R2_V1_D17,26.8,S30,,,,,,,,,,,,,,,
H4,R2_V1_D19,84.85,S32,,,,,,,,,,,,,,,
B5,R2_V1_D22,27.85,S34,,,,,,,,,,,,,,,
D5,R2_V1_D24,52,S36,,,,,,,,,,,,,,,
F5,R2_V1_D27,94.8,S38,,,,,,,,,,,,,,,
H5,R2_V1_D29,63.1,S40,,,,,,,,,,,,,,,
B6,R2_V1_D31,82.85,S42,,,,,,,,,,,,,,,
D6,R2_V1_D34,101.5,S44,,,,,,,,,,,,,,,
H3,R2_V1_D6,1.73,S24,,,,,,,,,,,,,,,
C4,R2_V3_D10,89.3,S27,,,,,,,,,,,,,,,
E4,R2_V3_D14,132.5,S29,,,,,,,,,,,,,,,
G4,R2_V3_D17,47.55,S31,,,,,,,,,,,,,,,
A5,R2_V3_D19,21.05,S33,,,,,,,,,,,,,,,
C5,R2_V3_D22,53.6,S35,,,,,,,,,,,,,,,
E5,R2_V3_D24,132,S37,,,,,,,,,,,,,,,
G5,R2_V3_D27,33.65,S39,,,,,,,,,,,,,,,
A6,R2_V3_D29,70.75,S41,,,,,,,,,,,,,,,
C6,R2_V3_D31,55.6,S43,,,,,,,,,,,,,,,
E6,R2_V3_D34,83.75,S45,,,,,,,,,,,,,,,
A4,R2_V3_D6,66.25,S25,,,,,,,,,,,,,,,
B7,R3_V1_D10,1.635,S48,,,,,,,,,,,,,,,
D7,R3_V1_D14,8.905,S50,,,,,,,,,,,,,,,
F7,R3_V1_D17,7.325,S52,,,,,,,,,,,,,,,
H7,R3_V1_D19,3.08,S54,,,,,,,,,,,,,,,
B8,R3_V1_D22,13.9,S56,,,,,,,,,,,,,,,
D8,R3_V1_D24,24.1,S58,,,,,,,,,,,,,,,
F8,R3_V1_D27,99.45,S60,,,,,,,,,,,,,,,
H8,R3_V1_D29,138,S62,,,,,,,,,,,,,,,
B9,R3_V1_D31,139,S64,,,,,,,,,,,,,,,
D9,R3_V1_D34,99,S66,,,,,,,,,,,,,,,
F6,R3_V1_D6,75.05,S46,,,,,,,,,,,,,,,
